AUTHOR,TITLE,FORM,TYPE
"ALENZA Y NIETO, Leonardo",Satire on Romantic Suicide,painting,other
"ALENZA Y NIETO, Leonardo",Satire on Romantic Suicide,painting,genre
"ALENZA Y NIETO, Leonardo",Triumph of David,painting,religious
ALESSO DI BENOZZO,Annunciation,painting,religious
ALESSO DI BENOZZO,Crucifixion,painting,religious
ALESSO DI BENOZZO,Crucifixion (detail),painting,religious
ALESSO DI BENOZZO,Madonna and Child,painting,religious
ALESSO DI BENOZZO,Pietà,painting,religious
"ALINCBROT, Louis",Scenes from the Life of Christ,painting,religious
"ALLEGRAIN, Etienne",Landscape with the Finding of Moses,painting,landscape
"ALLEGRAIN, Etienne",River Landscape,painting,landscape
"ALLEGRAIN, Etienne",River Landscape,painting,landscape
"ALLORI, Alessandro",View of the Salone,painting,mythological
"ALLORI, Alessandro",View of the Salone,painting,mythological
"ALLORI, Alessandro",The Banquet of Syphax,painting,mythological
"ALLORI, Alessandro",Titus Quinctius Flamininus's Speech before the Achaeans,painting,historical
"ALLORI, Alessandro",Lunette fresco (detail),painting,mythological
"ALLORI, Alessandro",Allegory of Human Life,painting,mythological
"ALLORI, Alessandro",Annunciation,painting,religious
"ALLORI, Alessandro",The Body of Christ with Two Angels,painting,religious
"ALLORI, Alessandro",Allegory of the Christian Church,painting,religious
"ALLORI, Alessandro",View of the cupola,painting,religious
"ALLORI, Alessandro",Scenes from the life of St Jerome (detail),painting,religious
"ALLORI, Alessandro",Most Holy Trinity,painting,religious
"ALLORI, Alessandro",Women on a Terrace,painting,genre
"ALLORI, Alessandro",Portrait of a Woman,painting,portrait
"ALLORI, Alessandro",Portrait of a Noble Woman,painting,portrait
"ALLORI, Alessandro","Portrait of Bianca Cappello, Second Wife of Francesco I de' Medici",painting,portrait
"ALLORI, Alessandro",Portrait of Francesco I de' Medici,painting,portrait
"ALLORI, Alessandro",Portrait of Tommaso de' Bardi,painting,portrait
"ALLORI, Alessandro",Portrait of a Young Man,painting,portrait
"ALLORI, Alessandro",The Preaching of St John the Baptist,painting,religious
"ALLORI, Alessandro",St Peter Walking on the Water,painting,religious
"ALLORI, Alessandro",Pearl Fishers,painting,other
"ALLORI, Alessandro",Susanna and The Elders,painting,mythological
"ALLORI, Alessandro",Fresco decoration (detail),painting,other
"ALLORI, Alessandro",Fresco decoration (detail),painting,other
"ALLORI, Alessandro",Venus and Cupid,painting,mythological
"ALLORI, Alessandro",Venus and Cupid,painting,mythological
"ALLORI, Cristofano",Adoration of the Magi,painting,religious
"ALLORI, Cristofano",Judith with the Head of Holofernes,painting,religious
"ALLORI, Cristofano",Judith with the Head of Holofernes,painting,religious
"ALLORI, Cristofano",Judith with the Head of Holofernes,painting,mythological
"ALLORI, Cristofano",Judith with the Head of Holofernes,painting,mythological
"ALLORI, Cristofano",Judith with the Head of Holofernes (detail),painting,mythological
"ALLSTON, Washington",Uriel Standing in the Sun,painting,other
"ALMA-TADEMA, Lawrence",Reading from Homer,painting,mythological
"ALMA-TADEMA, Lawrence",Tibullus at Delias House,painting,historical
"ALMA-TADEMA, Lawrence",Roman Art Lover,painting,genre
"ALMA-TADEMA, Lawrence",Women of Amphissa,painting,historical
"ALMA-TADEMA, Lawrence",On the Steps of the Capitol,painting,genre
"ALSLOOT, Denis van",Extensive Wooded Landscape with Cephalus and Procris,painting,landscape
"ALSLOOT, Denis van",The Flight into Egypt,painting,religious
"ALSLOOT, Denis van",Skating during Carnival,painting,landscape
"ALSLOOT, Denis van",Winter Landscape,painting,landscape
"ALSLOOT, Denis van","Winter Landscape in the Fôret de Soignes, with the Flight Into Egypt",painting,landscape
"ALT, Rudolf von",View of Vienna from the Prater,painting,landscape
"ALTDORFER, Albrecht",Landscape with Satyr Family,painting,landscape
"ALTDORFER, Albrecht",Landscape with Path,painting,landscape
"ALTDORFER, Albrecht",Danubian Landscape,painting,landscape
"ALTDORFER, Albrecht",Susanna in the Bath and the Stoning of the Elders,painting,mythological
"ALTDORFER, Albrecht",The Battle of Alexander,painting,historical
"ALTDORFER, Albrecht",The Battle of Alexander (detail),painting,historical
"ALTDORFER, Albrecht",The Battle of Alexander (detail),painting,historical
"ALTDORFER, Albrecht",Lovers,painting,other
"ALTDORFER, Albrecht",Loth and his Daughters,painting,religious
"ALTDORFER, Albrecht",Diptych,painting,religious
"ALTDORFER, Albrecht",Saint George in the Forest,painting,religious
"ALTDORFER, Albrecht",Rest on the Flight into Egypt,painting,religious
"ALTDORFER, Albrecht",Rest on the Flight into Egypt (detail),painting,religious
"ALTDORFER, Albrecht",Nativity,painting,religious
"ALTDORFER, Albrecht",Communion of the Apostles,painting,religious
"ALTDORFER, Albrecht","""Schöne Maria""",painting,religious
"ALTDORFER, Albrecht",Christ on the Cross between Mary and St John,painting,religious
"ALTDORFER, Albrecht",Christ on the Cross between Mary and St John (detail),painting,religious
"ALTDORFER, Albrecht",Christ on the Cross,painting,religious
"ALTDORFER, Albrecht",Christ on the Cross (detail),painting,religious
"ALTDORFER, Albrecht",Christ on the Cross (detail),painting,religious
"ALTDORFER, Albrecht",Christ Taking Leave of His Mother,painting,religious
"ALTDORFER, Albrecht",Mary with the Child,painting,religious
"ALTDORFER, Albrecht",The Birth of the Virgin,painting,religious
"ALTDORFER, Albrecht",Crucifixion,painting,religious
"ALTDORFER, Albrecht",Portrait of a Woman,painting,portrait
"ALTDORFER, Albrecht",Christ in the Garden of Gethsemane,painting,religious
"ALTDORFER, Albrecht",The Arrest of Christ,painting,religious
"ALTDORFER, Albrecht",The Flagellation of Christ,painting,religious
"ALTDORFER, Albrecht",The Resurrection of Christ,painting,religious
"ALTDORFER, Albrecht",The Entombment,painting,religious
"ALTDORFER, Albrecht",St Florian Taking Leave of the Monastery,painting,religious
"ALTDORFER, Albrecht",The Martyrdom of St Florian,painting,religious
ALTICHIERO da Zevio,View of the chapel,painting,other
ALTICHIERO da Zevio,View of the chapel,painting,religious
ALTICHIERO da Zevio,View of the chapel,painting,religious
ALTICHIERO da Zevio,View of the altar wall,painting,religious
ALTICHIERO da Zevio,Scenes on the entry wall,painting,religious
ALTICHIERO da Zevio,Adoration of the Magi,painting,religious
ALTICHIERO da Zevio,Adoration of the Magi (detail),painting,religious
ALTICHIERO da Zevio,Crucifixion,painting,religious
ALTICHIERO da Zevio,Two scenes on the northeast wall,painting,religious
ALTICHIERO da Zevio,St George Slays the Dragon,painting,religious
ALTICHIERO da Zevio,St George Baptizes the King and His Family (detail),painting,religious
ALTICHIERO da Zevio,The Beheading of St George,painting,religious
ALTICHIERO da Zevio,Two scenes on the southwest wall,painting,religious
ALTICHIERO da Zevio,The Beheading of St Catherine,painting,religious
ALTICHIERO da Zevio,The Funeral of St Lucy,painting,religious
ALTICHIERO da Zevio,The Funeral of St Lucy (detail),painting,religious
ALTICHIERO da Zevio,View of the Cappella di San Giacomo,painting,religious
ALTICHIERO da Zevio,View of the Cappella di San Giacomo,painting,religious
ALTICHIERO da Zevio,Crucifixion,painting,religious
ALTICHIERO da Zevio,Crucifixion,painting,religious
ALTICHIERO da Zevio,Crucifixion (detail),painting,religious
ALTICHIERO da Zevio,Scenes from the Life of St James,painting,religious
ALTICHIERO da Zevio,King Ramiro Summons the Crown Council,painting,religious
ALTICHIERO da Zevio,Virgin Being Worshipped by Members of the Cavalli Family,painting,religious
"ALTISSIMO, Cristofano dell'","Alchitrof, Emperor of Ethiopia",painting,portrait
"ALTISSIMO, Cristofano dell'",Portrait of Christopher Columbus,painting,portrait
"ALTOBELLO, Francesco Antonio",Adoration of the Shepherds,painting,religious
"ALTOMONTE, Bartolomeo",The Four Seasons Paying Homage to Chronos,painting,mythological
"ALTOMONTE, Martino",The Immaculate Conception,painting,religious
"ALTOMONTE, Martino",Rest on the Flight to Egypt,painting,religious
"AMBERGER, Christoph",Christoph Fugger,painting,portrait
"AMBERGER, Christoph",Goldsmith Jörg Zürer of Augsburg,painting,portrait
"AMBERGER, Christoph",Portrait of the Cosmographer Sebastien Münster,painting,portrait
"AMBERGER, Christoph",Portrait of Matthäus Schwarz,painting,portrait
"AMBERGER, Christoph",Portrait of Felicitas Seiler,painting,portrait
"AMBERGER, Christoph",Portrait of a Young Man,painting,portrait
"AMBERGER, Christoph",Portrait of a Young Woman,painting,portrait
"AMERLING, Friedrich von",Rudolf von Arthaber with his Children,painting,portrait
"AMERLING, Friedrich von",Emperor Franz I of Austria in his Coronation Robes,painting,portrait
"AMERLING, Friedrich von",Likeness of a Girl,painting,portrait
"AMERLING, Friedrich von",Portrait of a Young Girl,painting,portrait
"AMERLING, Friedrich von",Maiden with a Straw Hat,painting,portrait
"AMERLING, Friedrich von",Girl in Yellow Hat,painting,portrait
"AMERLING, Friedrich von",Countess Nákó,painting,portrait
"AMERLING, Friedrich von",Portrait of Princess Marie Franziska von Liechtenstein Aged Two,painting,portrait
"AMERLING, Friedrich von",Self-Portrait,painting,portrait
"AMERLING, Friedrich von",Portrait of Count István Széchenyi,painting,portrait
AMICO FRIULANO DEL DOSSO,Portrait of a Gentleman with a Sword,painting,portrait
"AMIGONI, Jacopo",Portrait of a Gentlemen in Blue Jacket,painting,portrait
"AMIGONI, Jacopo",Joseph in the Pharaoh's Palace,painting,religious
"AMIGONI, Jacopo",Juno Receiving the Head of Argos,painting,mythological
"AMIGONI, Jacopo",Portrait of a Lady,painting,portrait
"AMIGONI, Jacopo",Jael and Sisera,painting,mythological
"AMIGONI, Jacopo",Venus and Adonis,painting,mythological
"AMIGONI, Jacopo",Venus and Adonis (detail),painting,mythological
"AMIGONI, Jacopo",Venus and Adonis,painting,mythological
"AMIGONI, Jacopo",Venus and Adonis,painting,mythological
"AMIGONI, Jacopo",Venus and Adonis (detail),painting,mythological
"AMIGONI, Jacopo",Venus and Adonis,painting,mythological
"AMIGONI, Jacopo",Bacchus and Ariadne,painting,mythological
"AMIGONI, Jacopo",Virgin and Child,painting,religious
"AMIGONI, Jacopo",Flora and Zephyr,painting,mythological
"AMSTEL, Jan van",Dispute in a Brothel,painting,genre
"ANCHER, Anna Kirstine",Sunlight in the Blue Room. Helga Ancher Knitting in her Grandmother's Room,painting,genre
"ANCHER, Anna Kirstine",A Funeral,painting,genre
"ANCHER, Anna Kirstine","The Artist's Mother, Anna Hedvig Brøndum",painting,portrait
"ANCHER, Michael Peter",The Lifeboat is Taken through the Dunes,painting,genre
"ANCONA, Vito d'",Portrait of Gioacchino Rossini,painting,portrait
"ANDERSON, William","The Capture of Fort Saint Louis, Martinique",painting,historical
"ANDERSON, William",An English 3rd-Rate Ship of the Line in Three Positions,painting,landscape
"ANDERSON, William",Self-Portrait,painting,portrait
