AUTHOR,TITLE,FORM,TYPE
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Church as the Path to Salvation (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (west wall),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,The Triumph of St Thomas Aquinas (detail),painting,religious
ANDREA DA FIRENZE,"Scenes from the Life of St Peter Martyr (south wall, detail)",painting,religious
ANDREA DA FIRENZE,Vault frescoes,painting,religious
ANDREA DA FIRENZE,Resurrection (north vault cell),painting,religious
ANDREA DA FIRENZE,Salvation of Peter (Navicella) (east vault cell),painting,religious
ANDREA DA FIRENZE,Miracle of Pentecost (west vault cell),painting,religious
ANDREA DA FIRENZE,Ascension of Christ (south vault cell),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints,painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,The Virgin and Child with Ten Saints (detail),painting,religious
ANDREA DA FIRENZE,Crucifixion,painting,religious
ANDREA DA FIRENZE,Madonna and Child with Saints,painting,religious
ANDREA DA FIRENZE,Madonna and Child with Saints (detail),painting,religious
ANDREA DA FIRENZE,Scenes from the Life of St Rainerus (detail),painting,religious
ANDREA DA MURANO,Polyptych,painting,religious
ANDREA DA MURANO,Polyptych,painting,religious
ANDREA DA MURANO,Polyptych,painting,religious
ANDREA DEL CASTAGNO,Crucifixion and Saints,painting,religious
ANDREA DEL CASTAGNO,St John the Baptist,painting,religious
ANDREA DEL CASTAGNO,God the Father,painting,religious
ANDREA DEL CASTAGNO,St John the Evangelist,painting,religious
ANDREA DEL CASTAGNO,St Mark,painting,religious
ANDREA DEL CASTAGNO,Madonna and Child with Saints,painting,religious
ANDREA DEL CASTAGNO,Last Supper and Stories of Christ's Passion,painting,religious
ANDREA DEL CASTAGNO,Stories of Christ's Passion (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper and Stories of Christ's Passion,painting,religious
ANDREA DEL CASTAGNO,Stories of Christ's Passion,painting,religious
ANDREA DEL CASTAGNO,Stories of Christ's Passion (synopia),painting,religious
ANDREA DEL CASTAGNO,Resurrection (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper,painting,religious
ANDREA DEL CASTAGNO,Last Supper (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper (detail),painting,religious
ANDREA DEL CASTAGNO,Last Supper (architectural detail),painting,religious
ANDREA DEL CASTAGNO,Christ in the Sepulchre with Two Angels,painting,religious
ANDREA DEL CASTAGNO,Christ in the Sepulchre with Two Angels (synopia),painting,religious
ANDREA DEL CASTAGNO,Famous Persons: Eve,painting,portrait
ANDREA DEL CASTAGNO,Madonna and Child,painting,religious
ANDREA DEL CASTAGNO,Famous Persons: Pippo Spano,painting,portrait
ANDREA DEL CASTAGNO,Famous Persons: Niccolò Acciaiuoli,painting,portrait
ANDREA DEL CASTAGNO,Famous Persons: Farinata degli Uberti,painting,portrait
ANDREA DEL CASTAGNO,Famous Persons: Queen Esther,painting,portrait
